Organization Name,Crunchbase Profile Link,Last Funding Date,Total Funding Amount,Stage Track Stages,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter URL,LinkedIn URL,Number of Employees,Last Funding Amount,Founded Date
Itron,https://www.crunchbase.com/organization/itron,"Feb 23, 2026","$1,400,000,000",Not Started,"Advanced Materials, Clean Energy, Communications Infrastructure, Energy, Energy Management, GovTech, Oil and Gas, Software, Water","Liberty Lake, Washington, United States",Itron is a technology company that offers products and services on energy and water resource management.,"7,285",http://www.itron.com/,$1B to $10B,—,—,https://x.com/itroninc,https://www.linkedin.com/company/itroninc/,5001-10000,"$700,000,000",1977
Innovo Renewables,https://www.crunchbase.com/organization/innovo-renewables,"Feb 23, 2026","€110,500,000",Not Started,"Battery, Solar, Wind Energy","Milan, Lombardia, Italy",Innovo Renewables operates as a fully integrated renewable energy platform.,"8,809",https://www.innovorenewables.com/,—,Aviva Investors,Aviva Investors,,https://www.linkedin.com/company/innovorenewables,101-250,"€80,500,000",2022
Koiviston Auto,https://www.crunchbase.com/organization/koiviston-auto,"Feb 23, 2026","€300,000,000",Not Started,Railroad,"Lahti, Southern Finland, Finland",Koiviston Auto is the largest bus operating company in Finland.,"10,649",https://www.koivistonauto.fi/,—,"Siemens, Edmond de Rothschild Private Equity, LBP AM, Nord/LB, ABN AMRO Sustainable Impact Fund",—,,https://www.linkedin.com/company/koiviston-auto-oy/about/,11-50,"€300,000,000",Aug 1928
Heritage Energy Holdings,https://www.crunchbase.com/organization/heritage-energy-holdings,"Feb 23, 2026","$28,500,000",Not Started,"CleanTech, Energy, Renewable Energy","Texas, South Carolina, United States",Heritage Energy Holdings offers both businesses and home owners the opportunity to purchase privately-owned systems.,"10,700",https://heritageenergyholdings.com/,—,Eagle Point Credit Management,Eagle Point Credit Management,,,—,"$28,500,000",—
Ameren,https://www.crunchbase.com/organization/ameren,"Feb 23, 2026","$6,246,739,104",Not Started,"Consulting, Consumer Electronics, Electrical Distribution, Energy, Information Technology, Oil and Gas, Solar","St Louis, Missouri, United States","Ameren is a delivery company that specializes in natural gas and electric distribution, as well as electric transmission services.","10,753",http://ameren.com/,$1B to $10B,—,—,https://x.com/AmerenCorp,https://www.linkedin.com/company/ameren,5001-10000,"$900,000,000",1881
CenterPoint Energy,https://www.crunchbase.com/organization/centerpoint-energy,"Feb 23, 2026","$5,250,000,014",Not Started,"Energy, Logistics, Natural Resources, Oil and Gas","Houston, Texas, United States","CenterPoint Energy is an energy delivery company with electric transmission and distribution, power generation and natural gas distribution.","10,804",http://centerpointenergy.com/,$1B to $10B,—,—,https://x.com/energyinsights,https://www.linkedin.com/company/centerpoint-energy,5001-10000,"$600,000,000",1866
Clara Homes,https://www.crunchbase.com/organization/clara-homes,"Feb 23, 2026","$106,000,000",Not Started,"Commercial Real Estate, Real Estate","Miami, Florida, United States","Clara Homes is a integrated real estate firm offering residential and commercial development, operations oversight and custom homes.","10,846",https://www.clarahomes.co/,$1M to $10M,"Madison Realty Capital, Maxim Capital Group","Madison Realty Capital, Maxim Capital Group",,,1-10,"$80,000,000",2014
Ashley Stewart,https://www.crunchbase.com/organization/ashley-stewart,"Feb 23, 2026","$15,000,000",Not Started,"Fashion, Lifestyle, Women's","Edison, New Jersey, United States","Ashley Stewart is a global fashion brand that stands for uncompromising style, fashion, fit & empowerment for the woman","11,524",http://www.ashleystewart.com/,$100M to $500M,"Clearlake Capital Group, Tiger Finance",Tiger Finance,https://x.com/byashleystewart,https://www.linkedin.com/company/ashley-stewart,1001-5000,"$15,000,000",1991
Andion,https://www.crunchbase.com/organization/andion,"Feb 23, 2026","€67,000,000",Not Started,"Clean Energy, Energy, Organic, Renewable Energy","Luxembourg, Luxembourg, Luxembourg",Andion Global is a platform for waste-to-renewable energy that creates biogas projects in all their forms.,"12,577",https://andionch4.com/,—,"Goldman Sachs Alternatives, Equitix","Equitix, Goldman Sachs Alternatives",,https://www.linkedin.com/company/andionch4renewables/,11-50,"€67,000,000",2017
Iron Sheepdog,https://www.crunchbase.com/organization/iron-sheepdog,"Feb 23, 2026","$14,214,225",Not Started,"Apps, Construction, Finance, Software","Williamsburg, Virginia, United States",Iron Sheepdog is a technology solution that uses web-based technology and a mobile app to manage every aspect of short haul trucking.,"14,522",https://www.ironsheepdog.com/,$1M to $10M,"Grand Ventures, SJF Ventures, Supply Chain Ventures, ShockVentures",SJF Ventures,https://x.com/isheepdog,https://www.linkedin.com/company/iron-sheepdog,1-10,"$2,746,025","Aug 3, 2017"
Eco-inject,https://www.crunchbase.com/organization/eco-inject,"Feb 23, 2026","£5,200,000",Not Started,"Manufacturing, Pharmaceutical, Product Design","Cambridge, Cambridgeshire, United Kingdom",Eco-inject designs and manufactures autoinjectors for pharmaceutical companies.,"14,748",https://eco-inject.com/,—,Adjuvo,Adjuvo,,https://www.linkedin.com/company/eco-inject,1-10,"£5,200,000",—
BioSort,https://www.crunchbase.com/organization/biosort,"Feb 23, 2026","NOK100,000,000",Not Started,"Consulting, Software","Fornebu, Akershus, Norway",BioSort provides health development and biometrics identification for optimization.,"15,135",https://www.biosort.no/?lang=en,$1M to $10M,"Ichthus Venture Capital, Hatch Blue Ltd, Farvatn Venture, Futurum Ventures, Grieg Kapital",—,,https://www.linkedin.com/company/biosort-as/,11-50,"NOK100,000,000",2010
P2 Science,https://www.crunchbase.com/organization/p2-science,"Feb 23, 2026","$26,550,011",Not Started,"Biotechnology, Chemical, Renewable Energy","Woodbridge, Connecticut, United States",P2 Science develops a bio-refining process for the conversion of biomass such as vegetable oils into high-value specialty chemicals.,"15,871",http://www.p2science.com/,$10M to $50M,"L'AcceleratOR, Connecticut Innovations, Heritage Group, Webster Bank, Lewis & Clark AgriFood","BASF Venture Capital, CHANEL, Connecticut Innovations, HG Ventures, L'AcceleratOR, Lewis & Clark AgriFood, Webster Bank, Xeraya Capital",https://x.com/p2science,http://www.linkedin.com/company/p2-science-inc-,1-10,—,2009
RAIKU,https://www.crunchbase.com/organization/raiku-packaging,"Feb 23, 2026","€9,920,000",Not Started,"CleanTech, GreenTech, Manufacturing, Packaging Services","Tallinn, Harjumaa, Estonia",RAIKU is a Cleantech firm offering packaging and containers manufacturing servcies with low carbon footprint to substitute plastics.,"15,885",https://www.raiku.co/,$1M to $10M,"L'AcceleratOR, European Innovation Council, Prototron, Enterprise Estonia, EstBAN","European Innovation Council, L'AcceleratOR, Prototron",,https://www.linkedin.com/company/raiku/,1-10,—,"Jan 16, 2021"
Moncada Energy Group,https://www.crunchbase.com/organization/moncada-energy-usa,"Feb 23, 2026","$52,162,201",Not Started,—,"San Francisco, California, United States","Moncada Energy Group is a renewable energy production company that produces energy based on biomass, small wind, and photovoltaic energy.","19,141",http://moncadaenergy.us/,—,Fabio Ficano,—,,https://www.linkedin.com/company/67091473,101-250,"€41,200,000",Feb 2010
Eversource Energy,https://www.crunchbase.com/organization/northeast-utilities,"Feb 23, 2026","$2,989,000,000",Not Started,"Delivery, Electrical Distribution, Energy, Energy Efficiency, Natural Resources, Oil and Gas, Renewable Energy, Staffing Agency","Hartford, Connecticut, United States",Eversource transmits and delivers electricity and natural gas for more than 3.6 million electric and natural gas customers.,"19,873",https://www.eversource.com/,$10B+,US Department of Energy,US Department of Energy,https://x.com/eversourcecorp,https://www.linkedin.com/company/eversourceenergy,10001+,"$1,500,000,000",1966
PPL,https://www.crunchbase.com/organization/ppl-corporation,"Feb 23, 2026","$2,294,000,000",Not Started,"Electrical Distribution, Energy, Marketing","Allentown, Pennsylvania, United States","PPL Corporation delivers on its promises to customers, investors, employees and the communities we serve.","20,135",https://www.pplweb.com/,$1B to $10B,US Department of Energy,US Department of Energy,https://x.com/PPLCorp,https://www.linkedin.com/company/ppl-corporation,5001-10000,"$1,000,000,000","Jun 4, 1920"
Nibulon,https://www.crunchbase.com/organization/nibulon,"Feb 23, 2026","€34,800,000",Not Started,"Agriculture, Farming, Food and Beverage, Logistics, Sustainability","Mykolayiv, L'vivs'ka Oblast', Ukraine","Nibulon is an agricultural enterprise that specializes in the production and export of grains such as wheat, barley, and corn.","20,676",http://www.nibulon.com/,$10M to $50M,"Export and Investment Fund, DEG Impulse","DEG Impulse, Export and Investment Fund",,https://www.linkedin.com/company/nibulon,1001-5000,"€7,800,000",1991
MicroVision,https://www.crunchbase.com/organization/microvision,"Feb 23, 2026","$414,740,000",Not Started,"Consumer Electronics, Laser, Software","Redmond, Washington, United States",MicroVision designs and develops laser retina scan personal displays for electronic and computing products.,"23,266",http://www.microvision.com/,$1M to $10M,"Wolfspeed, Craig-Hallum Capital Group, Crede CapitalGroup, General Electric Pension Trust, Walsin Lihwa","Azimuth Opportunity, Craig-Hallum Capital Group, Crede CapitalGroup, General Electric Pension Trust, High Trail Capital, Walsin Lihwa, Wolfspeed",https://x.com/Microvision,http://www.linkedin.com/company/microvision,101-250,"$43,000,000",1993
ATOMERA INC,https://www.crunchbase.com/organization/mears-technologies,"Feb 23, 2026","$60,241,772",Not Started,"Information Technology, Manufacturing, Semiconductor","Los Gatos, California, United States",Atomera is an engineering company that focused on the development and commercialization of industrial fabrication environment.,"25,056",http://atomera.com/,Less than $1M,"Liquid Ventures, Taunton Depot, LLC",—,,https://www.linkedin.com/company/atomera,11-50,"$25,000,000",2001
Inventure,https://www.crunchbase.com/organization/inventure-2f6e,"Feb 23, 2026","$6,035,545",Not Started,"Health Care, Medical, Pharmaceutical","Southbury, Connecticut, United States",Inventure develops medical imaging devices designed to detect the disease of the patients.,"26,029",https://www.inventureimaging.com/,$1M to $10M,—,—,,https://www.linkedin.com/company/inventure-llc/,1-10,"$200,000",2014
ProPetro Energy Solutions,https://www.crunchbase.com/organization/propetro-energy-solutions,"Feb 23, 2026","$350,000,000",Not Started,—,"Midland, Texas, United States",ProPetro Energy Solutions supplies top-tier upstream oil and gas industries with completion and power services.,"26,312",—,—,Eldridge,Eldridge,,,—,"$350,000,000",—
Sacyr,https://www.crunchbase.com/organization/sacyr,"Feb 23, 2026","€895,000,000",Not Started,"Asset Management, Construction, Infrastructure","Madrid, Madrid, Spain",Sacyr is a multinational infrastructure and services company listed on the Ibex 35.,"28,381",http://www.sacyr.com/,$1M to $10M,"International Finance Corporation, JP Morgan, Cofides, Banco Bilbao Vizcaya Argentaria, IDB Invest","Cofides, JP Morgan",https://x.com/SomosSacyr,https://www.linkedin.com/company/94516?trk=NUS-body-company-name,10001+,"€40,000,000",1986
Ideal Power,https://www.crunchbase.com/organization/ideal-power,"Feb 23, 2026","$52,250,000",Not Started,"Battery, Energy, Semiconductor","Austin, Texas, United States",Ideal Power is a power conversion technology company that delivers innovative cleantech solutions.,"29,585",http://idealpower.com/,Less than $1M,"MDB Capital Group, Texas Venture Labs",—,https://x.com/IdealPower2,https://www.linkedin.com/company/ideal-power-converters/,11-50,"$14,000,000",2007
Ladder Capital Finance,https://www.crunchbase.com/organization/ladder-capital-finance,"Feb 23, 2026","$3,605,000,000",Not Started,"Asset Management, Finance, Financial Services, Real Estate, Venture Capital","New York, New York, United States",Ladder Capital Finance is a specialty finance company that provides comprehensive financing solutions to the commercial real estate,"29,800",http://www.laddercapital.com/,$1B to $10B,"Deutsche Bank, JP Morgan Chase, Wells Fargo, Bank of America, Societe Generale","GI Partners, TowerBrook Capital Partners",,https://www.linkedin.com/company/ladder-capital-finance-llc,51-100,"$675,000,000",2008
SunRoper,https://www.crunchbase.com/organization/sunroper,"Feb 23, 2026","$394,000,000",Not Started,"Energy, Power Grid, Solar","Wharton, Texas, United States",SunRoper is a 347 MWdc solar project.,"30,090",—,—,ING Capital LLC,ING Capital LLC,,,—,"$394,000,000",—
Abits Group,https://www.crunchbase.com/organization/abits-group,"Feb 23, 2026","$45,100,000",Not Started,"Bitcoin, Data Center, Data Mining","White Oak, Texas, United States",The Abits Group is a digital data center operator with Bitcoin self-mining activities situated in the United States.,"34,817",https://www.abitsgroup.com/,$1M to $10M,—,—,https://x.com/AbitsGroup,,11-50,"$2,100,000",2013
Kelpi,https://www.crunchbase.com/organization/kelpi,"Feb 23, 2026","£8,335,000",Not Started,"Biotechnology, Packaging Services, Sustainability","Bristol, Bristol, City of, United Kingdom",Kelpi is a sustainable biotech start-up bio-refining seaweed to make bioplastic packaging that is marine-safe and home-compostable.,"51,953",https://www.kelpi.net/,$1M to $10M,"L'AcceleratOR, Maven Capital Partners, Blackfinch Ventures, Innovate UK, SCVC","Blackfinch Ventures, Bristol Private Equity Club, Green Angel Ventures, Innovate UK, L'AcceleratOR, SCVC, SETsquared",https://x.com/kelpindustries,https://www.linkedin.com/company/kelpi,1-10,—,"Jul 7, 2020"
Quanta Exchange™,https://www.crunchbase.com/organization/quanta-exchange,"Feb 23, 2026","$6,000,000",Not Started,"Financial Exchanges, Financial Services, Trading Platform","Chicago, Illinois, United States",Quanta Exchange™ is a financial services firm that offers a platform for financial exchanges and trading.,"64,644",https://thequantax.com/,—,—,—,,https://www.linkedin.com/company/quanta-exchange/,1-10,"$6,000,000",2023
Field AI,https://www.crunchbase.com/organization/field-ai,"Feb 22, 2026","$405,000,000",Not Started,"Enterprise Software, Robotic Process Automation (RPA), Robotics","Mission Viejo, California, United States","Field AI develops autonomy software that equips mobile robots with a universal, risk-aware brain.","1,127",https://www.fieldai.com/,—,"Temasek Holdings, Khosla Ventures, NVentures, Samsung NEXT, Intel Capital","Bezos Expeditions, Hyundai Motor Group, Prysm Capital, Temasek Holdings",,https://www.linkedin.com/company/fieldai,11-50,—,2023
OXOlife,https://www.crunchbase.com/organization/oxolife,"Feb 22, 2026","€10,000,000",Not Started,"Biotechnology, Health Care, Medical","San Quírico Safaja, Catalonia, Spain",Oxolife is a biotechnology company in the clinical phase of development.,"11,965",http://www.oxolife.com/,$1M to $10M,"Inveready, Centre for the Development of Industrial Technology (CDTI), EIC Accelerator, Ministry of Science and Innovation of Spain, EIT Health","BStartup, EIC Accelerator, EIT Health, Inveready, Ministry of Science and Innovation of Spain",https://x.com/oxolife?lang=en,https://www.linkedin.com/company/oxolife-sl/,1-10,"€2,500,000",2013
Based,https://www.crunchbase.com/organization/suberra,"Feb 22, 2026","$14,200,000",Not Started,"Cryptocurrency, Payments, SaaS, Subscription Service","New City, New York, United States",Based offers products that help businesses accept crypto payments.,"16,827",https://based.one/,—,"Coinbase Ventures, Pantera Capital, Karatage, Hashed, Terra","Delphi Ventures, Mastercard Start Path, Pantera Capital",https://x.com/BasedOneX,https://www.linkedin.com/company/basedone,1-10,"$11,500,000","Sep 1, 2022"
Vedanta Resources,https://www.crunchbase.com/organization/vedanta-resources-plc,"Feb 21, 2026","$5,330,000,000",Not Started,"Mining, Natural Resources, Precious Metals, Sustainability","London, England, United Kingdom","Vedanta Resources is a natural resources company that extracts, processes, and supplies metals, power, oil, and gas","23,477",http://www.vedantaresources.com/,$1B to $10B,"Deutsche Bank, JP Morgan Chase, Glencore, First Abu Dhabi Bank, Standard Chartered Bank","Glencore, JP Morgan Chase, Oaktree Capital Management, Trafigura",https://x.com/AnilAgarwal_Ved,http://www.linkedin.com/company/vedantaresources,10001+,"$350,000,000",1976
Pepper,https://www.crunchbase.com/organization/pepper-e9f3,"Feb 20, 2026","$100,000,000",Not Started,"Artificial Intelligence (AI), E-Commerce, Food and Beverage, Wholesale","New York, New York, United States",Pepper provides an AI-powered eCommerce platform for food distributors and suppliers to manage customer engagement and order workflows.,74,https://www.usepepper.com/,$10M to $50M,"Gaingels, BoxGroup, Index Ventures, Greylock, ICONIQ Growth","Greylock, ICONIQ Growth, Index Ventures, Lead Edge Capital",https://x.com/PepperEcommerce,https://www.linkedin.com/company/usepepper,101-250,"$50,000,000",2019
Crusoe,https://www.crunchbase.com/organization/crusoe-energy-systems,"Feb 20, 2026","$4,197,500,000",Not Started,"AI Infrastructure, Artificial Intelligence (AI), Data Center, Energy, Energy Management, Oil and Gas","Denver, Colorado, United States",Crusoe is a vertically integrated AI infrastructure company that builds and operates data centers powered by energy sources.,465,https://crusoe.ai/,—,"Franklin Templeton, NVIDIA, Valor Equity Partners, Mubadala Capital, Dragonfly","Bain Capital Ventures, Brookfield Asset Management, Dragonfly, Founders Fund, G2 Venture Partners, Goldman Sachs, KCK, Mubadala Capital, Pathfinder, Upper90, Valor Equity Partners, Victory Park Capital",https://x.com/crusoeenergy,https://www.linkedin.com/company/crusoe,1001-5000,"$300,000,000","Aug 23, 2018"
Emerald AI,https://www.crunchbase.com/organization/emerald-ai,"Feb 20, 2026","$64,268,766",Not Started,"Artificial Intelligence (AI), Energy, Power Grid, SaaS, Software","Washington, District of Columbia, United States",Emerald AI develops software that aligns AI data center workloads with real-time power grid conditions to manage energy use.,742,https://www.emeraldai.co/,—,"Radical Ventures, CRV, Energy Impact Partners, NVentures, Amplo","Energy Impact Partners, National Grid, Radical Ventures",https://x.com/EmeraldAi_,https://www.linkedin.com/company/emerald-ai-1,11-50,"$22,749,615",2024
Yendo,https://www.crunchbase.com/organization/otto-f7b9,"Feb 20, 2026","$507,500,000",Not Started,"Artificial Intelligence (AI), Consumer Lending, Credit Cards, Financial Services, FinTech","Dallas, Texas, United States",Yendo offers a suite of consumer credit cards,850,https://yendo.com/,$1M to $10M,"Autotech Ventures, FPV Ventures, Human Capital, FJ Labs, Spacecadet Ventures","FPV Ventures, Human Capital, i80 Group, Uncommon Capital",https://x.com/joinyendo,https://www.linkedin.com/company/yendo1,51-100,"$200,000,000",2021
Ainekko,https://www.crunchbase.com/organization/ainekko,"Feb 20, 2026","$16,822,729",Not Started,"AI Infrastructure, Artificial Intelligence (AI), Developer Platform, Developer Tools, Infrastructure, Open Source, Semiconductor, Software","San Jose, California, United States",Open-source AI computing infrastructure,900,https://nekko.ai/,—,"WI Harper Group, Alexander Galitsky",WI Harper Group,,https://www.linkedin.com/company/ainekko,11-50,"$14,672,729","Oct 10, 2023"
Smarter Web Company,https://www.crunchbase.com/organization/smarter-web-company,"Feb 20, 2026","£311,426,129",Not Started,"Content Creators, Information Technology, Software, Web Design, Web Development","Bristol, Bristol, City of, United Kingdom","Smarter Web Company is an IT company that offers online marketing strategies, web design and development, and content management services.","1,097",https://www.smarterwebcompany.co.uk/,—,"Shard Capital Partners, Peterhouse Capital","Peterhouse Capital, Shard Capital Partners",https://x.com/smarterwebco,https://www.linkedin.com/company/the-smarter-web-company-plc/,1-10,"£209,400,000",2009
InScope,https://www.crunchbase.com/organization/inscope-33f4,"Feb 20, 2026","$18,800,000",Not Started,"Accounting, Artificial Intelligence (AI), Enterprise Software, Software","San Francisco, California, United States",Inscope is an AI-driven financial reporting platform designed specifically for accounting firms and enterprises.,"1,179",https://www.inscopehq.com/,—,"Lightspeed Venture Partners, Norwest, Storm Ventures, Better Tomorrow Ventures, Vipul Ved Prakash","Lightspeed Venture Partners, Norwest",https://x.com/inscopehq?mx=2,https://www.linkedin.com/company/inscopehq,11-50,"$14,500,000",2023
TriSalus Life Sciences,https://www.crunchbase.com/organization/surefire-medical,"Feb 20, 2026","$193,647,357",Not Started,"Biotechnology, Developer Platform, Hardware, Medical","Westminster, Colorado, United States",TriSalus Life Sciences develops novel infusion systems for the interventional radiology market.,"2,428",https://trisaluslifesci.com/,$10M to $50M,"OrbiMed, ORI Capital, Tullis Health Investors, Partisan Management Group, High Country Venture","High Country Venture, OrbiMed, ORI Capital, Partisan Management Group, Tullis Health Investors",https://x.com/SurefireMedical,https://www.linkedin.com/company/surefire-medical-inc-,11-50,"$46,000,000",2009
The New York Times,https://www.crunchbase.com/organization/newyorktimes,"Feb 20, 2026","$951,900,000",Not Started,"Advertising, Internet, News, Publishing","New York, New York, United States","The New York Times creates, collects, and distributes news, information, and entertainment through a daily newspaper and a website.","4,259",https://www.nytimes.com/,$1B to $10B,"Berkshire Hathaway, ValueAct Capital, Carlos Slim","Berkshire Hathaway, ValueAct Capital",https://x.com/nytimes,http://www.linkedin.com/company/the-new-york-times,5001-10000,"$351,700,000","Sep 18, 1851"
Reduced,https://www.crunchbase.com/organization/reduced,"Feb 20, 2026","€21,285,000",Not Started,"Food and Beverage, Food Processing, Organic, Sustainability, Waste Management","Copenhagen, Hovedstaden, Denmark",Reduced develops natural flavor enhancers from upcycled produce.,"4,776",https://reducedfoods.com/,—,"Novo Holdings, Rockstart, Delphinus Venture Capital, Pollen Street Capital, Vaekstfonden","Delphinus Venture Capital, European Circular Bioeconomy Fund, Export and Investment Fund, Novo Holdings, Vaekstfonden, VÅR Ventures",,https://www.linkedin.com/company/reduced-aps,1-10,"€4,000,000",2020
Yondr Group,https://www.crunchbase.com/organization/yondr-group,"Feb 20, 2026","$1,767,135,771",Not Started,"Information Services, Information Technology, Internet","Amsterdam, Noord-Holland, The Netherlands","Yondr Group is a developer, owner operator and service provider of data centers.","5,178",https://www.yondrgroup.com/,—,"International Finance Corporation, HSBC, Apollo, Deutsche Bank, Mubadala",International Finance Corporation,,https://www.linkedin.com/company/yondrgroup/about/,101-250,"£532,000,000",2019
Curio Wellness,https://www.crunchbase.com/organization/curio-wellness,"Feb 20, 2026","$30,679,455",Not Started,"Health Care, Hospital, Wellness","Lutherville Timonium, Maryland, United States","Curio Wellness is a hospital and healthcare center that offers natural treatment and provides safe, reliable, and effective products.","6,103",https://curiowellness.com/,Less than $1M,—,—,https://x.com/curiowellness,https://www.linkedin.com/company/curio-wellness,251-500,"$5,271,571",2014
Blink Technologies,https://www.crunchbase.com/organization/blink-technologies-4015,"Feb 20, 2026","$28,859,996",Not Started,"Artificial Intelligence (AI), Big Data, Computer Vision, Information Technology, Machine Learning, Software","Palo Alto, California, United States","Blink Technologies is developing a robust, non-intrusive passive, eye-tracking technology without the need for special dedicated hardware.","9,244",http://www.blinkeye.com/,$1M to $10M,"Cervin Ventures, Eldridge Industries, Elysian Park Ventures, INCapital Ventures, Ruttenberg Gordon Investments","Eldridge Industries, INCapital Ventures",,https://www.linkedin.com/company/blinkeyeai/,11-50,"$7,100,000",2017
Zenniz,https://www.crunchbase.com/organization/zenniz,"Feb 20, 2026","$8,170,978",Not Started,"Software, Sports, Tennis","Helsinki, Southern Finland, Finland",Zenniz is an ITF approved game tracking solution that provides real-time information.,"10,608",http://www.zenniz.com/,$1M to $10M,"Seventure Partners, Superhero Capital, Butterfly Ventures, Miki Kuusi, Bromelia Capital","Butterfly Ventures, Superhero Capital",https://x.com/myZenniz,https://www.linkedin.com/company/zenniz,1-10,"$6,000,000",2012
Antero - Utica Shale assets,https://www.crunchbase.com/organization/utica-shale-assets,"Feb 20, 2026","$480,000,000",Not Started,"Industrial, Infrastructure, Oil and Gas","Denver, Colorado, United States",Antero Utica Shale assets is a portfolio of oil and natural gas properties and infrastructure for well operations and production gathering.,"11,483",https://www.anteroresources.com/operations/utica-shale,—,Northern Oil and Gas,—,,,501-1000,"$480,000,000",2002
Kilter Systems,https://www.crunchbase.com/organization/kilter-systems,"Feb 20, 2026","$16,221,707",Not Started,"Agriculture, AgTech, Farming","Viken, Troms, Norway",Kilter Systems is a developer of agricultural technology.,"11,870",https://www.kiltersystems.com/,$1M to $10M,"Pymwymic, Verdelis Investments, Natural Ventures, Nufarm, Kubota Corporation","Kubota Corporation, Nufarm, Pymwymic",https://x.com/kiltersystems,https://www.linkedin.com/company/kiltersystems,11-50,"€6,500,000",2004
Rosy Soil,https://www.crunchbase.com/organization/rosy-soil,"Feb 20, 2026","$8,600,000",Not Started,"Agriculture, Home and Garden, Home Improvement","Greenwich, New York, United States",Rosy Soil makes the best houseplant soil with organic biochar compost. Our houseplant potting soil keeps indoor plants healthy and thriving.,"13,902",https://rosysoil.com/,—,"Draper Associates, Boost VC, Superorganism, AP Ventures, Climate Capital",AP Ventures,,https://www.linkedin.com/company/rosysoil,1-10,"$5,000,000",2021
Southern California Edison,https://www.crunchbase.com/organization/southern-california-edison,"Feb 20, 2026","$3,500,000,000",Not Started,"Communications Infrastructure, Electrical Distribution, Energy, Sustainability","Rosemead, California, United States","Southern California Edison (SCE), an Edison International company, is one of the nation’s largest investor-owned utilities.","17,673",https://www.sce.com/,Less than $1M,Wells Fargo,Wells Fargo,https://x.com/SCE,http://www.linkedin.com/company/sce,10001+,"$1,500,000,000",1886
Green Thumb Industries,https://www.crunchbase.com/organization/green-thumb-industries,"Feb 20, 2026","$279,152,098",Not Started,"Alternative Medicine, Cannabis, Medical","Chicago, Illinois, United States",Green Thumb is a consumer packaged goods company that promotes and sells cannabis products through wholesale and retail channels.,"28,788",https://www.gtigrows.com/,$1B to $10B,"Poseidon Asset Management, Merida Capital Holdings, Valley National Bank",Valley National Bank,https://x.com/gtigrows,https://www.linkedin.com/company/gtigrows,1001-5000,"$50,000,000",2014
Bimergen Energy,https://www.crunchbase.com/organization/bitech-technologies,"Feb 20, 2026","$63,600,000",Not Started,"Battery, Energy, Energy Storage, Renewable Energy","Newport Beach, California, United States","Bimergen Energy offers green energy solutions, specializing in Battery Energy Storage Systems.","30,322",https://www.bimergen.com/,—,—,—,https://x.com/BitechMining,https://www.linkedin.com/company/bitech-technologies,1-10,"$13,600,000",1998
Island Facility Services,https://www.crunchbase.com/organization/island-facility-services,"Feb 20, 2026","$7,686,725",Not Started,"Customer Service, Facilities Support Services, Home Services","Newport, Newport, United Kingdom",Island Facility Services is a building maintenance and construction company for commercial and domestic properties.,"31,727",https://islandfacilityservices.co.uk/,$1M to $10M,—,—,https://x.com/facilityisland,https://www.linkedin.com/company/island-facility-services,11-50,"$7,686,725",2010
Türkiye Şişe ve Cam Fabrikaları,https://www.crunchbase.com/organization/trakya-cam-sanayi-a,"Feb 20, 2026","$1,679,942,269",Not Started,"Agriculture, Automotive, Energy, Manufacturing","Istanbul, Istanbul, Turkey",Türkiye Şişe ve Cam Fabrikaları is a glass manufacturing company.,"47,573",https://www.sisecam.com.tr/en,$1B to $10B,—,—,https://x.com/sisecamduzcam,https://www.linkedin.com/company/sisecam,10001+,"$500,000,000",1978
Capital Clean Energy Carriers,https://www.crunchbase.com/organization/capital-product-partners,"Feb 20, 2026","€250,000,000",Not Started,"Marine Transportation, Shipping, Transportation","Piraeus, Attiki, Greece",Capital Clean Energy Carriers Corp. is an international diversified shipping company and leader in seaborne transportation.,"87,915",http://www.capitalpplp.com/overview.cfm,—,—,—,https://x.com/capitalpplp,https://www.linkedin.com/company/capital-product-partners-l-p-,1-10,"€250,000,000",2007
TPG,https://www.crunchbase.com/organization/texas-pacific-group,"Feb 19, 2026","$2,677,848,425",Not Started,"Asset Management, Digital Media, Financial Services","San Francisco, California, United States","TPG is an asset management firm that provides investing in private equity, real estate, credit, and growth platforms.",21,http://www.tpg.com/,$1B to $10B,"Ares Management, Jackson, Kohlberg Kravis Roberts & Co., Barings, Partners Group","Ares Management, Jackson",https://x.com/tpg,https://www.linkedin.com/company/tpg-capital,1001-5000,"$500,000,000",1992
Kalshi,https://www.crunchbase.com/organization/kalshi,"Feb 19, 2026","$1,645,094,988",Not Started,"Finance, Financial Exchanges, Financial Services, FinTech, Internet, Prediction Markets, Predictive Analytics","New York, New York, United States",Kalshi is a regulated prediction market where users trade event-based contracts tied to real-world outcomes.,25,https://kalshi.com/,$1B to $10B,"Andreessen Horowitz, General Catalyst, Sequoia Capital, Paradigm, Y Combinator","Andreessen Horowitz, CapitalG, Global Founders Capital, Paradigm, Sequoia Capital, Tradeweb, Y Combinator",https://x.com/kalshi,https://www.linkedin.com/company/kalshi,101-250,—,2018
