"Organization Name","Last Funding Date","Total Funding Amount","Stage","Industries","Headquarters Location","Description","CB Rank (Company)","Website","Estimated Revenue Range","Top 5 Investors","Lead Investors"
"Circadian Risk","Feb 24, 2026","$9,741,207","Not Started","Apps, Security, Software","Ann Arbor, Michigan, United States","Circadian Risk provides physical security risk assessment software to reduce risk to people and critical assets.","3,673","http://www.circadianrisk.com/","Less than $1M","Gaingels, Arthur Ventures, 11 Tribes Ventures, Newchip Accelerator, Tamiami Angel Funds","Arthur Ventures"
"Kinfolk","Feb 26, 2026","$7,200,000","Not Started","Artificial Intelligence (AI), Information Technology, Internet, SaaS, Software","London, England, United Kingdom","AI agents and ticketing system for People Operations","3,674","https://www.kinfolkhq.com/","$1M to $10M","Ascension, PROfounders Capital, AlbionVC, Emerge VC, Tony Jamous","AlbionVC"
"Pay with Spire","Feb 5, 2026","$32,625,194","Not Started","Financial Services","New York, New York, United States","Pay with Spire a mobile commerce platform that verifies and authenticates consumers and transactions.","3,675","https://paywithspire.com/","$1M to $10M","Continental Investment Partners","Continental Investment Partners"
"Pinterest","Mar 3, 2026","$2,486,100,000","Not Started","Internet, Social Bookmarking, Social Media, Social Network, Software","San Francisco, California, United States","Pinterest is a visual bookmarking tool for saving and discovering creative ideas.","3,679","https://www.pinterest.com/","$1B to $10B","Andreessen Horowitz, Wellington Management, Bessemer Venture Partners, FirstMark, Slow Ventures","Andreessen Horowitz, Bessemer Venture Partners, Brandtech Ventures, Elliott Management Corp., Fidelity, FirstMark, Goldman Sachs Investment Partners, Rakuten, SV Angel, Valiant Capital Partners, Wellington Management"
"Brooklyn Dumpling Shop","Mar 3, 2026","$7,083,944","Not Started","Delivery, Food and Beverage, Restaurants","New York, New York, United States","Brooklyn Dumpling Shop specializes in serving various dumplings combining traditional and innovative dumpling flavors.","3,687","https://www.brooklyndumplingshop.com/","—","Keith Lee, Branded Hospitality, RSE Ventures","Branded Hospitality, Keith Lee, RSE Ventures"
"Propagate Content","Feb 11, 2026","$50,000,000","Not Started","Digital Entertainment","Los Angeles, California, United States","Propagate Content is a content company, spread and promote creative and groundbreaking content from the heart of Hollywood.","3,721","http://propagatecontent.com/","$1M to $10M","Ares Management, The Raine Group","Ares Management, The Raine Group"
"BluePath Finance","Mar 3, 2026","$122,292,000","Not Started","Finance, Financial Services, Infrastructure","San Francisco, California, United States","BluePath Finance is an investment firm that primarily funds infrastructure projects.","3,726","https://www.bluepathfinance.com/index.html","$1M to $10M","TWG Global, WindSail Capital Group","TWG Global"
"Surf Internet","Mar 4, 2026","$1,201,600,000","Not Started","Internet, Technical Support, Telecommunications","Elkhart, Indiana, United States","Surf Internet provides fiber and wireless internet services to customers.","3,744","https://surfinternet.com/","—","Bain Capital, DigitalBridge, Macquarie Capital, Liberty Mutual Investments, CDPQ Infra","DigitalBridge, Indiana Connectivity Program, Macquarie Capital, ROBIN"
"Smack Technologies","Mar 2, 2026","$32,000,000","Not Started","Artificial Intelligence (AI), Web Development","El Segundo, California, United States","Smack's purpose is to provide Decision Dominance to the Department of War, our allies, and partners.","3,764","https://smacktechnologies.com/about","—","Anomaly Fund, Felicis, Geodesic Capital, Washington Harbour Partners, Bloomberg Beta","Costanoa Ventures, Geodesic Capital, Point72 Ventures"
"Salma Health","Feb 26, 2026","$80,000,000","Not Started","Health Care, Medical, Neuroscience","La Jolla, California, United States","Salma Health is a concierge neurocognitive clinic that uses neurology and psychiatry techniques to solve various brain conditions.","3,800","https://kaizenbraincenter.com/","—","Mubadala Capital, ARCH Venture Partners, Lingotto, Averin","ARCH Venture Partners, Mubadala Capital"
"Cambrian Biopharma","Feb 24, 2026","$190,800,000","Not Started","Biopharma, Biotechnology, Life Science","New York, New York, United States","Cambrian is a distributed development company building therapeutics to lengthen health span.","3,824","https://www.cambrianbio.com/","$1M to $10M","Alumni Ventures, Catalio Capital Management, FJ Labs, Future Ventures, Advanced Research Projects Agency for Health","Advanced Research Projects Agency for Health, Anthos Capital, FJ Labs, SALT Fund"
"NineDot Energy","Feb 5, 2026","$1,085,200,000","Not Started","Clean Energy, CleanTech, Energy, Energy Efficiency","Brooklyn, New York, United States","NineDot Energy develops battery storage sites and other energy solutions.","3,835","http://www.nine.energy/","—","Deutsche Bank, SolaREIT, The Carlyle Group, Natixis Corporate & Investment Banking, First Citizens Bank","CIT Group, Deutsche Bank, First Citizens Bank, Manulife Investment Management, Monarch Private Capital, Natixis Corporate & Investment Banking, NY Green Bank, NYSERDA, SolaREIT, Sumitomo Mitsui Banking Corporation"
"Whirlpool","Feb 24, 2026","$2,182,330,000","Not Started","Home Appliances","Benton Harbor, Michigan, United States","Whirlpool manufactures and markets major home appliances.","3,840","https://www.whirlpoolcorp.com/","$10B+","US Department of Energy, Whirlpool China","US Department of Energy, Whirlpool China"
"Purchasing Power","Mar 3, 2026","$620,000,000","Not Started","Employee Benefits, Finance, Personal Finance","Atlanta, Georgia, United States","Purchasing Power provides employee purchase programs for brand-name products through payroll deduction.","3,859","http://www.purchasingpower.com/","$100M to $500M","Bregal Sagemount, Comvest Credit Partners, Waterfall Asset Management, Rockbridge Growth Equity, Kroll Bond Rating Agency","Barclays Bank, Bregal Sagemount, Comvest Credit Partners, Kroll Bond Rating Agency"
"Callosum","Feb 26, 2026","$10,250,000","Not Started","Artificial Intelligence (AI), Digital Signage, Hardware, Software","London, England, United Kingdom","Callosum is an intelligent systems company that develops systems-level software that balances AI workloads across a diverse mix of hardware.","3,867","https://www.callosum.com/","—","Plural, Charlie Songhurst, ARIA, Stan Boland, John Lazar","ARIA, Plural"
"Monaco","Feb 11, 2026","$35,000,000","Not Started","Artificial Intelligence (AI), CRM, Machine Learning, Software","San Francisco, California, United States","Monaco provides an AI-native revenue platform for startups that replaces legacy CRM systems and separate sales tools.","3,879","https://www.monaco.com/","—","Founders Fund, Human Capital, Alt Capital, MANTIS Venture Capital, Saga Ventures","Founders Fund"
"Hollywood Feed","Feb 12, 2026","$112,000,000","Not Started","E-Commerce, Food and Beverage, Pet","Memphis, Tennessee, United States","Hollywood Feed is an online pet food store.","3,884","https://www.hollywoodfeed.com/","$100M to $500M","Fortress Investment Group","Fortress Investment Group"
"Kana","Feb 18, 2026","$15,000,000","Not Started","Customer Service, Marketing","San Francisco, California, United States","Kana's aim is to envision a future in which AI and marketers collaborate to provide each consumer with a flawless, customized experience.","3,919","https://www.kana.ai/","—","Mayfield Fund","Mayfield Fund"
"Norwegian Cruise Line","Feb 17, 2026","$9,257,289,182","Not Started","Tourism, Transportation, Travel","Miami, Florida, United States","Norweigian Cruise Line is a travel company that takes customers to exotic destinations using cruise ships.","3,939","https://www.ncl.com/","$1B to $10B","Apollo, L Catterton, Elliott Management Corp.","Apollo, Elliott Management Corp., L Catterton"
"Manufact","Feb 12, 2026","$6,800,000","Not Started","Artificial Intelligence (AI), Developer Platform, Developer Tools, Information Technology, Open Source","San Francisco, California, United States","Manufact provides open-source developer tools and infrastructure for the model context protocol.","3,944","https://mcp-use.com/","—","Peak XV Partners, Y Combinator, Liquid 2 Ventures, Pioneer Fund, Ritual Capital","Peak XV Partners, Y Combinator"
"Westman Atelier","Feb 18, 2026","$36,897,948","Not Started","Beauty, Cosmetics, Wellness","New York, New York, United States","Westman Atelier formulates makeup with clean ingredients and no-compromises integrity.","3,956","https://www.westman-atelier.com/","$1M to $10M","Imaginary Ventures, Fernbrook Capital Management LLC, Electric Feel Ventures, G9 Ventures","—"
"Chptr","Mar 4, 2026","$7,148,361","Not Started","Internet, News, Social Media","New York, New York, United States","Chptr is a mobile-first memorialization platform to gather, share, and hold memories for a lost loved one’s life for generations to come.","3,960","https://www.chptr.com/","$1M to $10M","Gaingels, Animal Capital, Hatzimemos / Libby, Sugar Capital, Cosmic Venture Partners","Grit Capital Partners, SXSW Pitch"
"Clear Channel Outdoor","Feb 9, 2026","$4,190,000,000","Not Started","Advertising, Marketing, Messaging","New York, New York, United States","Clear Channel Outdoor CCO Baltimore launches partnership with MEMA to deliver emergency messaging across the state using digital billboards.","3,964","https://clearchanneloutdoor.com/","$1B to $10B","TWG Global","—"
"Upside Robotics","Feb 11, 2026","$7,500,000","Not Started","—","San Francisco, California, United States","AI-powered farm robots","4,012","https://upsiderobotics.com/","—","Plural Platform, Garage Capital","Plural Platform"
"Cryptio","Mar 4, 2026","$70,725,004","Not Started","Accounting, Analytics, Blockchain, Cryptocurrency, FinTech","Paris, Ile-de-France, France","Cryptio is a fintech and SaaS company that offer accounting, audit and tax software for digital assets.","4,019","https://cryptio.co/","$1M to $10M","Draper Associates, Alven, BlueYard Capital, Protocol Labs, Kima Ventures","Alven, Draper Associates, Point Nine"
"Eutelsat","Feb 11, 2026","$3,518,201,090","Not Started","News, Satellite Communication, Telecommunications","Paris, Ile-de-France, France","Eutelsat is a commercial satellite provider with coverage spanning the European continent, the Middle East, Africa India, and the Americas.","4,020","http://www.eutelsat.com/","$1B to $10B","Department for Science, Innovation and Technology (DSIT), Star Capital SGR, CMA CGM, Bharti Enterprises, Agence des Participations de l’Etat","Agence des Participations de l’Etat"
"Hypersonica","Feb 10, 2026","€23,300,000","Not Started","Autonomous Vehicles, Manufacturing, Space Travel","Weßling, Bayern, Germany","Hypersonica develops advanced hypersonic vehicles to enhance Europe's space capabilities.","4,062","https://www.hypersonica.space/","—","General Catalyst, Plural Platform, SPRIN-D, 201 Ventures","Plural Platform"
"Flow Neuroscience","Feb 9, 2026","$12,557,882","Not Started","Health Care, Medical Device, Neuroscience, Wearables","Malmö, Skane Lan, Sweden","Flow Neuroscience is a healthcare company that develops direct current stimulation device and behavioral therapy app for depression.","4,067","https://flowneuroscience.com/","$1M to $10M","Khosla Ventures, SOSV, Redstone.VC, Global Brain Corporation, naturalX Health Ventures","Khosla Ventures, MedTech Innovator, One Mind Accelerator, Redstone.VC, SOSV, SwissHealth Ventures, Zühlke Ventures AG"
"Quill Meetings","Feb 25, 2026","$6,500,000","Not Started","Artificial Intelligence (AI), Business Intelligence, Collaboration, Enterprise Software, Human Resources, Natural Language Processing, Productivity Tools, Sales Automation, Software","South San Francisco, Pennsylvania, United States","Quill Meetings develops Quilliam, an on-device AI staff coordination and meeting intelligence platform for professionals.","4,075","https://www.quillmeetings.com/","—","500 Global, Basis Set Ventures, AME Cloud Ventures, Naval Ravikant, Morado Ventures","Basis Set Ventures"
"Direct Marketing Solutions","Feb 11, 2026","$25,600,000","Not Started","Advertising, Information Technology, Marketing, Software","Portland, Oregon, United States","DMS provides agile, response-driven, attribution-based solutions that drive ROI.","4,119","http://teamdms.com/","$50M to $100M","MSC Income Fund, Main Street Capital","Main Street Capital"
"Solid","Feb 18, 2026","$20,000,000","Not Started","AI Infrastructure, Business Intelligence, Data Center, Data Governance, Enterprise Software","New York, New York, United States","Solid is an AI-powered gateway for business-ready data, designed to think like your team, not simply your tables.","4,162","https://www.getsolid.ai/","—","Team8, SignalFire","SignalFire, Team8"
"ArgusEye","Feb 18, 2026","€12,800,000","Not Started","Biotechnology, Health Diagnostics, Real Time, Sensor","Linköping, Ostergotlands Lan, Sweden","ArgusEye is a biotechnology company that provides sensor solutions for real-time detection of biological systems and processes.","4,189","http://arguseye.se/","$1M to $10M","Voima Ventures, EIC Accelerator, EIR Ventures","EIC Accelerator, EIR Ventures, Voima Ventures"
"Neural Earth","Feb 24, 2026","$10,700,000","Not Started","Aerospace, Artificial Intelligence (AI), Geospatial, Government, Insurance, Machine Learning, Software","Miami, Florida, United States","Neural Earth provides innovative solutions for various industries implementing AI and machine learning.","4,197","https://www.neural.io/","—","—","—"
"Aurora Energy Services","Feb 24, 2026","£30,000,000","Not Started","Renewable Energy","Dyce, Aberdeen City, United Kingdom","Aurora Energy Services offers services to help the energy industry.","4,241","https://www.auroraenergy.co/en-us","—","Scottish National Investment Bank","Scottish National Investment Bank"
"Wyndham Hotels & Resorts","Feb 24, 2026","$2,000,000,000","Not Started","Hospitality, Hotel, Travel Accommodations","Parsippany, New Jersey, United States","Wyndham Hotels & Resorts is the world's largest hotel franchisor by number of properties.","4,258","https://corporate.wyndhamhotels.com/","$1B to $10B","—","—"
"The New York Times","Feb 20, 2026","$951,900,000","Not Started","Advertising, Internet, News, Publishing","New York, New York, United States","The New York Times creates, collects, and distributes news, information, and entertainment through a daily newspaper and a website.","4,259","https://www.nytimes.com/","$1B to $10B","Berkshire Hathaway, ValueAct Capital, Carlos Slim","Berkshire Hathaway, ValueAct Capital"
"ISAAC","Mar 2, 2026","€21,220,000","Not Started","Civil Engineering, Construction, Industrial, Information Technology, Mechanical Engineering","Milano, Lombardia, Italy","Active vibration control of structures against earthquakes and strong winds","4,267","https://isaacantisismica.com/","$1M to $10M","CDP Venture Capital, 360 Capital, Ring Capital, Axon Partners Group, NovaCapital","360 Capital, CDP Venture Capital"
"The Biological Computing","Feb 12, 2026","$25,000,000","Not Started","Artificial Intelligence (AI), Bioinformatics, Computer","Baltimore, Maryland, United States","The Biological Computing integrates biological neurons with artificial neural networks to develop a living computer.","4,312","https://bbb-tech.com/","—","Primary Venture Partners, Builders VC, E1 Ventures, Tusk Venture Partners, Refactor","Primary Venture Partners"
"Ondas Networks","Feb 5, 2026","$1,997,460,025","Not Started","Data Center Automation, Drone Management, Drones, Internet, Internet of Things, Wireless","Sunnyvale, California, United States","Ondas Networks is a wireless networking company that designs and manufactures its multi-patented SDR platform.","4,313","https://www.ondas.com/","$10M to $50M","—","—"
"Voomi Supply","Mar 6, 2026","$11,000,000","Not Started","E-Commerce, Electronics, Heating, Ventilation, and Air Conditioning (HVAC), Home Improvement","Dresher, Pennsylvania, United States","Voomi Supply is an online supplier of HVAC units, HVAC parts, plumbing, heating, and electrical equipment.","4,326","https://voomisupply.com/","$1M to $10M","Asymmetric Capital Partners, Highmount Capital","Asymmetric Capital Partners"
"Modveon","Feb 9, 2026","$10,000,000","Not Started","Information Technology","Palo Alto, California, United States","Modveon aim is to create verified operating system for modern Nation States.","4,336","https://modveon.com/","—","Coinbase Ventures, Firebolt Ventures, XBTO Humla Ventures, Strategic Cyber Ventures","—"
"Tungsten West","Feb 5, 2026","£124,315,675","Not Started","Chemical, Mineral, Mining","London, England, United Kingdom","Tungsten West is a mining development company.","4,343","https://www.tungstenwest.com/","$1M to $10M","Export-Import Bank of the United States, Lansdowne Partners, Baker Steel Capital Managers LLP","Export-Import Bank of the United States, Lansdowne Partners"
"4Moving Biotech","Feb 10, 2026","€19,600,000","Not Started","Biopharma, Biotechnology, Pharmaceutical, Test and Measurement","Lille, Nord-Pas-de-Calais, France","4Moving Biotech is a biopharmaceutical company that develops osteoarthritis drugs for osteoarthritis patients.","4,356","https://www.4movingbiotech.com/","$1M to $10M","France 2030","France 2030"
"National Funding","Mar 3, 2026","$450,000,000","Not Started","Finance, Financial Services, FinTech","San Diego, California, United States","National Funding: the financial technology solution for businesses nationwide. We provide capital, financing, and other merchant services.","4,374","https://www.nationalfunding.com/","$10M to $50M","Guggenheim Securities, Wells Fargo Capital Finance, CapitalSource","Guggenheim Securities"
"Onodrim Industries","Feb 13, 2026","€40,000,000","Not Started","Military, Network Security, Security, Sensor","Amsterdam, Noord-Holland, The Netherlands","Onodrim Industries is a tech company that focuses on mission-critical systems across defence manufacturing, advanced sensing.","4,381","https://www.onodrim.com/","—","General Catalyst, Founders Fund, Lakestar","Founders Fund, General Catalyst, Lakestar"
"JobLogic","Mar 3, 2026","£160,000,000","Not Started","Business Development, Computer, Software","Birmingham, Birmingham, United Kingdom","Joblogic is a developer of cloud-based field service management software that offers solutions for service and maintenance contractors.","4,412","https://www.joblogic.com/","$10M to $50M","Vista Equity Partners, LGPS Central, Axiom Equity","Axiom Equity, LGPS Central, Vista Equity Partners"
"Greenbacker Group","Feb 12, 2026","$1,990,000,000","Not Started","Energy, Renewable Energy, Solar","New York, New York, United States","Greenbacker Group empowers a sustainable world by connecting individuals and institutions with investments in clean energy.","4,427","http://greenbackercapital.com/","$100M to $500M","Voya Investment Management, Huntington National Bank, Amalgamated Bank, RBC Capital Markets, M&T Bank","Amalgamated Bank, M&T Bank, RBC Capital Markets, US Bank, Voya Investment Management"
"Amatera","Mar 4, 2026","$8,647,626","Not Started","Biotechnology, Consumer Research, Product Research","Paris, Ile-de-France, France","Amatera is a biotechnology research company that leverages the latest techniques in biotechnology, to create coffee varieties.","4,452","https://www.amatera.bio/","$1M to $10M","Demea Sustainable Investment, Exceptional Ventures, AgFunder, Oyster Bay Venture Capital, Joyance Partners","Demea Sustainable Investment, Oyster Bay Venture Capital, PINC"
"Aliro Technologies","Feb 18, 2026","$31,255,682","Not Started","Computer, Software","Boston, Massachusetts, United States","Aliro Technologies, The Quantum Networking Company, offers AliroNet to emulate, pilot, and deploy entanglement-based quantum networks.","4,467","https://www.aliroquantum.com/","$1M to $10M","Cisco Investments, Flybridge, Crosslink Capital, National Science Foundation, Argon Ventures","Accenture Ventures, Flybridge, Gutbrain Ventures, National Science Foundation"
"Tozaro","Feb 16, 2026","£13,000,000","Not Started","Biotechnology, Health Care, Life Science","Bedford, Bedfordshire, United Kingdom","Tozaro is a biotechnology company that develops synthetic affinity reagents for cell and gene therapy.","4,479","https://tozaro.com/","$1M to $10M","Bill & Melinda Gates Foundation, Mercia Ventures, Calculus Capital","Bill & Melinda Gates Foundation, Mercia Ventures"
"Chowbus","Feb 19, 2026","$209,569,966","Not Started","Point of Sale, SaaS, Software","Chicago, Illinois, United States","Chowbus is a leading all-in-one cloud-based point-of-sale system for restaurants.","4,521","http://www.chowbus.com/","—","Left Lane Capital, FJ Labs, Greycroft, Prysm Capital, Fika Ventures","Altos Ventures, FJ Labs, Greycroft, Left Lane Capital, Prysm Capital"
"Reflow","Feb 10, 2026","$15,000,000","Not Started","B2B, Customer Service, Enterprise Applications, Software","San Mateo, California, United States","Reflow builds AI agents for fast enterprise software integrations.","4,542","https://www.reflow.ai/","—","e2vc, Bling Capital, Basis Set Ventures, Designer Fund, Better Tomorrow Ventures","Basis Set Ventures"
"Envoy Medical","Feb 11, 2026","$92,278,590","Not Started","Health Care, Medical, Medical Device","White Bear Lake, Minnesota, United States","Envoy Medical is an innovative medical organization that focuses on the treatment of hearing-impaired individuals.","4,550","https://www.envoymedical.com/","Less than $1M","Starkey Hearing Technologies, Triginta Capital, Glen Taylor","Glen Taylor, Starkey Hearing Technologies"
"COMPASS Pathways","Feb 26, 2026","$771,209,674","Not Started","Biotechnology, Health Care, Life Science, Mental Health, Personal Health, Wellness","Altrincham, Cheshire, United Kingdom","Compass Pathways is a mental health care company that focuses on developing therapies for treatment-resistant depression.","4,551","https://compasspathways.com/","$10M to $50M","RA Capital Management, Founders Fund, Vivo Capital, TCG Crossover, Perceptive Advisors","Aisling Capital, Hercules Capital, McQuade Center for Strategic Research and Development, TCG Crossover"
"Pulpex","Feb 23, 2026","£82,000,000","Not Started","Manufacturing, Packaging Services","Cambridge, Cambridgeshire, United Kingdom","Paper-based packaging for liquids","4,553","https://www.pulpex.com/","$1M to $10M","L'AcceleratOR, Diageo, National Wealth Fund, Scottish National Investment Bank, CMPC","L'AcceleratOR, National Wealth Fund"
"Lincoln Avenue Communities","Feb 5, 2026","$96,320,000","Not Started","Property Management, Real Estate, Service Industry","Santa Monica, California, United States","Lincoln Avenue Capital Management engages in property management and real estate services.","4,560","https://www.lincolnavenue.com/","$1M to $10M","JP Morgan Chase, Barings, National Equity Fund, WNC & Associates, Ohio Capital Corporation for Housing","OCFC lending, Ohio Capital Corporation for Housing, SANTA FE COUNTY, WNC & Associates"
"Indra","Feb 16, 2026","€653,000,000","Not Started","Consulting, CRM, Information Services, Information Technology, Security, Service Industry","Madrid, Madrid, Spain","Indra is a technology and consulting company that offers solutions in information technology, defense, security, and transportation.","4,572","http://www.indracompany.com/","$1B to $10B","European Investment Bank, JP Morgan Chase, Third Point","European Investment Bank, JP Morgan Chase, Third Point"
"Flock AI","Feb 5, 2026","$6,000,000","Not Started","Artificial Intelligence (AI), Information Technology, Software","New City, New York, United States","Flock AI provides an AI platform for brands to create custom, on-model images and visuals for beauty and apparel businesses.","4,581","https://www.flockshop.ai/","—","Work-Bench, beehiiv, January Ventures, Outlander VC, Red Bike Capital","Work-Bench"
"Radicle Science","Feb 9, 2026","$11,495,316","Not Started","Dietary Supplements, Health Care, mHealth, Wellness","San Diego, California, United States","Radicle Science is a health tech company that offers an accelerated, non-FDA route to drug validation.","4,583","https://radiclescience.com/","$1M to $10M","Lightspeed Venture Partners, Everywhere Ventures, Social Impact Capital, Untapped Ventures, Wayne Chang","One Mind Accelerator, Untapped Ventures"
"RAYDIAX","Mar 1, 2026","€11,000,000","Not Started","Electronics, Health Care, Machinery Manufacturing, Manufacturing, Medical Device","Magdeburg, Sachsen-Anhalt, Germany","RAYDIAX is a manufacturing company which makes therapy-assist CT systems that enable minimally invasive interventions.","4,608","https://www.raydiax.com/","$1M to $10M","HTGF (High-Tech Gruenderfonds), bmp Ventures, EIC Accelerator, IBG Beteiligungsgesellschaft Sachsen-Anhalt, GETEC","bmp Ventures, EIC Accelerator, Federal Ministry for Economic Cooperation and Development, HTGF (High-Tech Gruenderfonds)"
"Mogul","Feb 24, 2026","$6,900,000","Not Started","Music, Music Streaming, Software","West Hollywood, California, United States","Mogul streamlines the music industry so artists are paid exactly what they're owed by connecting royalty accounts and providing alerts.","4,730","https://www.usemogul.com/","$1M to $10M","Wonder Ventures, Mindset Ventures, Urban Innovation Fund, Amplify.LA, Yamaha Music Innovation","UTA.VC, Yamaha Music Innovation"
"OWL","Feb 27, 2026","$8,999,965","Not Started","Financial Services, FinTech, Information Technology","Charlotte, North Carolina, United States","OWL is a platform to track holdings, fund managers' performance, endowments, foundations, and other major investors.","4,738","https://oldwell-labs.com/","$1M to $10M","Hammoud Ventures, Teamworthy Ventures, Capital Allocators, Nellore Capital, TFJ Capital","Nellore Capital"
"ZeroPath","Feb 10, 2026","$10,500,000","Not Started","B2B, Cyber Security, Developer Tools, Network Security","San Francisco, California, United States","ZeroPath is a Computer and Network Security firm that discover and fix exploitable software vulnerabilities.","4,749","https://zeropath.com/","—","Y Combinator, HOF Capital, RSA Conference, SurgePoint Capital, Paul Graham","RSA Conference, SurgePoint Capital, Y Combinator"
"Lifeaz","Feb 12, 2026","€17,000,000","Not Started","Health Care, Personal Health, Wellness","Paris, Ile-de-France, France","Lifeaz is a French start-up that aims to prevent cardiovascular risk and revolutionize the connected health.","4,758","https://lifeaz.fr/","Less than $1M","Mirova, BNP Paribas, GO CAPITAL, XAnge, Impactivist","Mutuelles Impact"
"Omnicom Group","Feb 25, 2026","$4,090,234,915","Not Started","Advertising, Consulting, Direct Marketing, Marketing, Public Relations","New York, New York, United States","Omnicom Group provides advertising and marketing communications services for their clients.","4,761","http://www.omnicomgroup.com/","$10B+","—","—"
"Reduced","Feb 20, 2026","€21,285,000","Not Started","Food and Beverage, Food Processing, Organic, Sustainability, Waste Management","Copenhagen, Hovedstaden, Denmark","Reduced develops natural flavor enhancers from upcycled produce.","4,776","https://reducedfoods.com/","—","Novo Holdings, Rockstart, Delphinus Venture Capital, Pollen Street Capital, Vaekstfonden","Delphinus Venture Capital, European Circular Bioeconomy Fund, Export and Investment Fund, Novo Holdings, Vaekstfonden, VÅR Ventures"
"Archer","Feb 24, 2026","$122,000,000","Not Started","Food and Beverage, Food Processing, Manufacturing","Los Angeles, California, United States","Archer is a manufacturing company that produces delicious real real-ingredient jerky and meat sticks.","4,792","https://archerjerky.com/","$100M to $500M","JP Morgan Chase, Monogram Capital Partners, The K Fund","JP Morgan Chase, Monogram Capital Partners"
"NuCube Energy","Feb 19, 2026","$13,000,000","Not Started","Energy, Nuclear, Power Grid","Idaho Falls, Idaho, United States","NuCube is an innovative technology company designing a revolutionary nuclear fission reactor.","4,811","https://nucube.energy/","—","Arizona Nuclear Ventures, Shell, Carbon Royalty, Halliburton Labs, Rob Walton","Arizona Nuclear Ventures, Halliburton Labs, Shell"
"Connect Music","Feb 5, 2026","$80,000,000","Not Started","Apps, Mobile, Music","Memphis, Tennessee, United States","Connect Music may distribute an endless amount of music and have the same worldwide exposure as musicians and record labels.","4,819","https://connectmusic.com/","—","Variant Investments, Rockmont Partners","Rockmont Partners, Variant Investments"
"Rent2Cash","Mar 3, 2026","€103,000,000","Not Started","Financial Services, FinTech","Roma, Lazio, Italy","Rent2Cash is an innovative company that marks a new frontier in the intersection between finance and real estate.","4,853","https://www.rent2cash.it/","—","—","—"
"Myrias Optics","Feb 24, 2026","$6,600,000","Not Started","Manufacturing","Amherst, Massachusetts, United States","Myrias Optics provides a full range of services leading ​to full scale manufacturing at low costs","4,864","https://myriasoptics.com/","$1M to $10M","University of Massachusetts Amherst, MassVentures, TiE Angels Boston, Mill Town Capital, NSF Small Business Innovation Research / Small Business Technology Transfer (SBIR/STTR)","Asia Optical, MassVentures, NSF Small Business Innovation Research / Small Business Technology Transfer (SBIR/STTR)"
"Crash Override","Feb 10, 2026","$47,049,996","Not Started","Cyber Security, Software","New York, New York, United States","Crash Override is a SaaS provider company that provides a list of the things to do.","4,868","https://www.crashoverride.com/","—","Bessemer Venture Partners, Google Ventures, RSA Conference, SYN Ventures, Firestreak Ventures","Bessemer Venture Partners, Google Ventures, RSA Conference, SYN Ventures"
"Caspia Technologies","Feb 18, 2026","$12,152,966","Not Started","Network Security, Security","Gainesville, Florida, United States","Caspia Technologies is an security solution for the electronics supply chain.","4,876","https://caspiatechnologies.com/","$1M to $10M","—","—"
"Scripps Institution of Oceanography","Mar 3, 2026","$30,228,542","Not Started","Alumni, Education, Information Technology","La Jolla, California, United States","Scripps Institution of Oceanography educates and researches the impacts and hazards of climate change on the planet.","4,892","https://scripps.ucsd.edu/","$100M to $500M","US Department of Commerce, Economic Development Administation, Paul G. Allen Family Foundation, National Oceanic and Atmospheric Administration, Fund for Science and Technology, State of California","Fund for Science and Technology, National Oceanic and Atmospheric Administration, Paul G. Allen Family Foundation, State of California, US Department of Commerce, Economic Development Administation"
"Reddy","Feb 11, 2026","$8,650,000","Not Started","Software, Training","Denver, Colorado, United States","Talent Optimization Platform","4,907","https://reddy.io/","—","Denver Ventures","Denver Ventures"
"Völur","Mar 3, 2026","$10,971,491","Not Started","Artificial Intelligence (AI), Food Processing, Machine Learning","Oslo, Oslo, Norway","Völur is an AI-based technology company that optimizes the cutting and processing of sustainable meat.","4,930","https://volur.no/","—","Steiger Family Trust, Fusion Fund, Scribble Ventures, Serra Ventures, Startuplab","Fusion Fund, Innovation Norway"
"Bon Vivant","Feb 24, 2026","€52,500,000","Not Started","Biotechnology","Lyon, Rhone-Alpes, France","A French biotechnology company that uses precision fermentation to produce real dairy products, accessible to everyone.","4,960","https://bonvivant-food.com/","$1M to $10M","Bpifrance, Founders Future, Alven, Sofinnova Partners, Picus Capital","AFI Ventures, Bpifrance, Captech Santé, EIT Food, Sofinnova Partners, Sparkfood"
"Sirius XM","Feb 26, 2026","$4,234,750,000","Not Started","Broadcasting, Internet Radio, Music, News","New York, New York, United States","Sirius XM is a satellite radio broadcasting company providing satellite radio and online radio services.","4,990","http://siriusxm.com/","$1B to $10B","Berkshire Hathaway, JP Morgan Chase, Liberty Media","Berkshire Hathaway, JP Morgan Chase, Liberty Media"
"Garner Health","Feb 10, 2026","$219,299,999","Not Started","Big Data, Business Intelligence, Employee Benefits, Health Care, Software","New York, New York, United States","Garner Health is a healthcare technology company that connects employers and employees with high-performing medical providers.","5,032","https://www.garnerhealth.com/","$10M to $50M","BoxGroup, Thrive Capital, Kleiner Perkins, Founders Fund, Maverick Ventures","Founders Fund, Kleiner Perkins, Redpoint"
